Date,Open,High,Low,Close,Adj Close,Volume
1995-08-03,null,null,null,null,null,null
1995-08-04,null,null,null,null,null,null
1995-08-07,null,null,null,null,null,null
1995-08-08,null,null,null,null,null,null
1995-08-09,null,null,null,null,null,null
1995-08-10,null,null,null,null,null,null
1995-08-11,null,null,null,null,null,null
1995-08-14,null,null,null,null,null,null
1995-08-15,null,null,null,null,null,null
1995-08-16,null,null,null,null,null,null
1995-08-17,null,null,null,null,null,null
1995-08-18,null,null,null,null,null,null
1995-08-21,null,null,null,null,null,null
1995-08-22,null,null,null,null,null,null
1995-08-23,null,null,null,null,null,null
1995-08-24,null,null,null,null,null,null
1995-08-25,null,null,null,null,null,null
1995-08-28,null,null,null,null,null,null
1995-08-29,null,null,null,null,null,null
1995-08-30,null,null,null,null,null,null
1995-08-31,null,null,null,null,null,null
1995-09-01,null,null,null,null,null,null
1995-09-04,null,null,null,null,null,null
1995-09-05,null,null,null,null,null,null
1995-09-06,null,null,null,null,null,null
1995-09-07,null,null,null,null,null,null
1995-09-08,null,null,null,null,null,null
1995-09-11,null,null,null,null,null,null
1995-09-12,null,null,null,null,null,null
1995-09-13,null,null,null,null,null,null
1995-09-14,null,null,null,null,null,null
1995-09-15,null,null,null,null,null,null
1995-09-18,null,null,null,null,null,null
1995-09-19,null,null,null,null,null,null
1995-09-20,null,null,null,null,null,null
1995-09-21,null,null,null,null,null,null
1995-09-22,null,null,null,null,null,null
1995-09-25,null,null,null,null,null,null
1995-09-26,null,null,null,null,null,null
1995-09-27,null,null,null,null,null,null
1995-09-28,null,null,null,null,null,null
1995-09-29,null,null,null,null,null,null
1995-10-02,null,null,null,null,null,null
1995-10-03,null,null,null,null,null,null
1995-10-04,null,null,null,null,null,null
1995-10-05,null,null,null,null,null,null
1995-10-06,null,null,null,null,null,null
1995-10-09,null,null,null,null,null,null
1995-10-10,null,null,null,null,null,null
1995-10-11,null,null,null,null,null,null
1995-10-12,null,null,null,null,null,null
1995-10-13,null,null,null,null,null,null
1995-10-16,null,null,null,null,null,null
1995-10-17,null,null,null,null,null,null
1995-10-18,null,null,null,null,null,null
1995-10-19,null,null,null,null,null,null
1995-10-20,null,null,null,null,null,null
1995-10-23,null,null,null,null,null,null
1995-10-24,null,null,null,null,null,null
1995-10-25,null,null,null,null,null,null
1995-10-26,null,null,null,null,null,null
1995-10-27,null,null,null,null,null,null
1995-10-30,null,null,null,null,null,null
1995-10-31,null,null,null,null,null,null
1995-11-01,null,null,null,null,null,null
1995-11-02,null,null,null,null,null,null
1995-11-03,null,null,null,null,null,null
1995-11-06,null,null,null,null,null,null
1995-11-07,null,null,null,null,null,null
1995-11-08,null,null,null,null,null,null
1995-11-09,null,null,null,null,null,null
1995-11-10,null,null,null,null,null,null
1995-11-13,null,null,null,null,null,null
1995-11-14,null,null,null,null,null,null
1995-11-15,null,null,null,null,null,null
1995-11-16,null,null,null,null,null,null
1995-11-17,null,null,null,null,null,null
1995-11-20,null,null,null,null,null,null
1995-11-21,null,null,null,null,null,null
1995-11-22,null,null,null,null,null,null
1995-11-23,null,null,null,null,null,null
1995-11-24,null,null,null,null,null,null
1995-11-27,null,null,null,null,null,null
1995-11-28,null,null,null,null,null,null
1995-11-29,null,null,null,null,null,null
1995-11-30,null,null,null,null,null,null
1995-12-01,null,null,null,null,null,null
1995-12-04,null,null,null,null,null,null
1995-12-05,null,null,null,null,null,null
1995-12-06,null,null,null,null,null,null
1995-12-07,null,null,null,null,null,null
1995-12-08,null,null,null,null,null,null
1995-12-11,null,null,null,null,null,null
1995-12-12,null,null,null,null,null,null
1995-12-13,null,null,null,null,null,null
1995-12-14,null,null,null,null,null,null
1995-12-15,null,null,null,null,null,null
1995-12-18,null,null,null,null,null,null
1995-12-19,null,null,null,null,null,null
1995-12-20,null,null,null,null,null,null
1995-12-21,null,null,null,null,null,null
1995-12-22,null,null,null,null,null,null
1995-12-25,null,null,null,null,null,null
1995-12-26,null,null,null,null,null,null
1995-12-27,null,null,null,null,null,null
1995-12-28,null,null,null,null,null,null
1995-12-29,null,null,null,null,null,null
1996-01-01,null,null,null,null,null,null
1996-01-02,null,null,null,null,null,null
1996-01-03,null,null,null,null,null,null
1996-01-04,null,null,null,null,null,null
1996-01-05,null,null,null,null,null,null
1996-01-08,null,null,null,null,null,null
1996-01-09,null,null,null,null,null,null
1996-01-10,null,null,null,null,null,null
1996-01-11,null,null,null,null,null,null
1996-01-12,null,null,null,null,null,null
1996-01-15,null,null,null,null,null,null
1996-01-16,null,null,null,null,null,null
1996-01-17,null,null,null,null,null,null
1996-01-18,null,null,null,null,null,null
1996-01-19,null,null,null,null,null,null
1996-01-22,null,null,null,null,null,null
1996-01-23,null,null,null,null,null,null
1996-01-24,null,null,null,null,null,null
1996-01-25,null,null,null,null,null,null
1996-01-26,null,null,null,null,null,null
1996-01-29,null,null,null,null,null,null
1996-01-30,null,null,null,null,null,null
1996-01-31,null,null,null,null,null,null
1996-02-01,null,null,null,null,null,null
1996-02-02,null,null,null,null,null,null
1996-02-05,null,null,null,null,null,null
1996-02-06,null,null,null,null,null,null
1996-02-07,null,null,null,null,null,null
1996-02-08,null,null,null,null,null,null
1996-02-09,null,null,null,null,null,null
1996-02-12,null,null,null,null,null,null
1996-02-13,null,null,null,null,null,null
1996-02-14,null,null,null,null,null,null
1996-02-15,null,null,null,null,null,null
1996-02-16,null,null,null,null,null,null
1996-02-19,null,null,null,null,null,null
1996-02-20,null,null,null,null,null,null
1996-02-21,null,null,null,null,null,null
1996-02-22,null,null,null,null,null,null
1996-02-23,null,null,null,null,null,null
1996-02-26,null,null,null,null,null,null
1996-02-27,null,null,null,null,null,null
1996-02-28,null,null,null,null,null,null
1996-02-29,null,null,null,null,null,null
1996-03-01,null,null,null,null,null,null
1996-03-04,null,null,null,null,null,null
1996-03-05,null,null,null,null,null,null
1996-03-06,null,null,null,null,null,null
1996-03-07,null,null,null,null,null,null
1996-03-08,null,null,null,null,null,null
1996-03-11,null,null,null,null,null,null
1996-03-12,null,null,null,null,null,null
1996-03-13,null,null,null,null,null,null
1996-03-14,null,null,null,null,null,null
1996-03-15,null,null,null,null,null,null
1996-03-18,null,null,null,null,null,null
1996-03-19,0.917970,0.917970,0.917970,0.917970,0.000289,51200
1996-03-20,null,null,null,null,null,null
1996-03-21,0.937500,0.937500,0.937500,0.937500,0.000295,102400
1996-03-22,0.947270,0.947270,0.947270,0.947270,0.000298,358400
1996-03-25,0.947270,0.947270,0.947270,0.947270,0.000298,102400
1996-03-26,0.927730,0.927730,0.927730,0.927730,0.000292,51200
1996-03-27,0.947270,0.957030,0.937500,0.957030,0.000301,307200
1996-03-28,null,null,null,null,null,null
1996-03-29,0.966800,0.966800,0.966800,0.966800,0.000304,204800
1996-04-01,null,null,null,null,null,null
1996-04-02,0.976560,1.005860,0.976560,1.005860,0.000317,204800
1996-04-03,1.005860,1.005860,0.996090,0.996090,0.000314,409600
1996-04-04,0.976560,0.976560,0.966800,0.966800,0.000304,153600
1996-04-05,0.966800,0.976560,0.966800,0.976560,0.000307,153600
1996-04-08,0.976560,0.996090,0.976560,0.986330,0.000310,256000
1996-04-09,0.996090,1.044920,0.996090,1.044920,0.000329,1280000
1996-04-10,1.054690,1.142580,1.054690,1.093750,0.000344,3072000
1996-04-11,1.093750,1.093750,1.064450,1.083980,0.000341,972800
1996-04-12,1.064450,1.093750,1.064450,1.093750,0.000344,665600
1996-04-15,1.142580,1.181640,1.113280,1.162110,0.000366,3584000
1996-04-16,1.152340,1.191410,1.152340,1.191410,0.000375,1792000
1996-04-17,1.171880,1.289060,1.171880,1.269530,0.000400,3481600
1996-04-18,1.279300,1.308590,1.250000,1.279300,0.000403,3993600
1996-04-19,null,null,null,null,null,null
1996-04-22,1.289060,1.289060,1.201170,1.220700,0.000384,1740800
1996-04-23,1.210940,1.220700,1.201170,1.220700,0.000384,1126400
1996-04-24,1.230470,1.259770,1.230470,1.250000,0.000393,1177600
1996-04-25,1.259770,1.269530,1.259770,1.269530,0.000400,1433600
1996-04-26,1.240230,1.269530,1.230470,1.259770,0.000397,2201600
1996-04-29,null,null,null,null,null,null
1996-04-30,1.240230,1.240230,1.220700,1.230470,0.000387,409600
1996-05-01,null,null,null,null,null,null
1996-05-02,1.250000,1.289060,1.240230,1.269530,0.000400,1484800
1996-05-03,1.289060,1.298830,1.269530,1.279300,0.000403,972800
1996-05-06,1.250000,1.279300,1.250000,1.279300,0.000403,768000
1996-05-07,null,null,null,null,null,null
1996-05-08,1.279300,1.289060,1.279300,1.289060,0.000406,665600
1996-05-09,1.279300,1.396480,1.279300,1.337890,0.000421,2816000
1996-05-10,1.308590,1.376950,1.308590,1.357420,0.000427,2560000
1996-05-13,1.367190,1.367190,1.347660,1.347660,0.000424,972800
1996-05-14,1.357420,1.357420,1.328130,1.337890,0.000421,1075200
1996-05-15,1.337890,1.357420,1.328130,1.347660,0.000424,921600
1996-05-16,1.357420,1.357420,1.347660,1.347660,0.000424,256000
1996-05-17,1.337890,1.337890,1.318360,1.328130,0.000418,1996800
1996-05-20,1.308590,1.337890,1.308590,1.318360,0.000415,1075200
1996-05-21,1.318360,1.328130,1.318360,1.318360,0.000415,1433600
1996-05-22,1.328130,1.328130,1.308590,1.308590,0.000412,870400
1996-05-23,1.298830,1.298830,1.298830,1.298830,0.000409,358400
1996-05-24,1.279300,1.308590,1.279300,1.298830,0.000409,665600
1996-05-27,1.289060,1.289060,1.279300,1.279300,0.000403,204800
1996-05-28,1.259770,1.289060,1.259770,1.289060,0.000406,409600
1996-05-29,1.298830,1.308590,1.289060,1.308590,0.000412,358400
1996-05-30,1.298830,1.298830,1.269530,1.279300,0.000403,1024000
1996-05-31,1.289060,1.289060,1.259770,1.269530,0.000400,358400
1996-06-03,1.289060,1.298830,1.289060,1.298830,0.000409,204800
1996-06-04,1.298830,1.298830,1.298830,1.298830,0.000409,204800
1996-06-05,1.308590,1.337890,1.308590,1.337890,0.000421,512000
1996-06-06,1.337890,1.337890,1.328130,1.337890,0.000421,307200
1996-06-07,1.347660,1.386720,1.347660,1.376950,0.000433,3942400
1996-06-10,1.384770,1.386720,1.382810,1.383790,0.000436,1740800
1996-06-11,1.393070,1.393070,1.373050,1.380860,0.000435,204800
1996-06-12,1.389650,1.391600,1.384770,1.385740,0.000436,256000
1996-06-13,1.382320,1.384770,1.380860,1.380860,0.000435,204800
1996-06-14,1.376950,1.382810,1.376950,1.379880,0.000434,307200
1996-06-17,1.390630,1.410160,1.390630,1.402830,0.000442,460800
1996-06-18,1.406250,1.406250,1.392580,1.396480,0.000440,512000
1996-06-19,1.394530,1.394530,1.386720,1.386720,0.000437,204800
1996-06-20,1.376950,1.376950,1.376950,1.376950,0.000433,102400
1996-06-21,1.386720,1.386720,1.336910,1.363280,0.000429,563200
1996-06-24,1.343750,1.363280,1.343750,1.349610,0.000425,307200
1996-06-25,1.355470,1.376950,1.355470,1.376950,0.000433,13056000
1996-06-26,1.353520,1.396480,1.347660,1.379390,0.000434,11315200
1996-06-27,1.376950,1.386720,1.367190,1.384770,0.000436,1996800
1996-06-28,1.377930,1.402340,1.377930,1.396480,0.000440,3481600
1996-07-01,1.389160,1.398930,1.387210,1.393070,0.000439,409600
1996-07-02,1.392090,1.392090,1.377930,1.377930,0.000434,358400
1996-07-03,1.347660,1.376950,1.347660,1.357910,0.000427,307200
1996-07-04,1.349610,1.371090,1.349610,1.371090,0.000432,307200
1996-07-05,1.367190,1.367190,1.367190,1.367190,0.000430,204800
1996-07-08,1.367680,1.376950,1.357420,1.367190,0.000430,307200
1996-07-09,1.367190,1.371090,1.361330,1.369630,0.000431,768000
1996-07-10,1.367190,1.375000,1.367190,1.369140,0.000431,153600
1996-07-11,1.386720,1.398930,1.386720,1.397950,0.000440,13260800
1996-07-12,1.386720,1.396480,1.380860,1.385740,0.000436,460800
1996-07-15,1.396480,1.396480,1.382810,1.386720,0.000437,153600
1996-07-16,1.371580,1.371580,1.367190,1.367190,0.000430,460800
1996-07-17,1.355470,1.367190,1.355470,1.367190,0.000430,204800
1996-07-18,1.357420,1.367190,1.357420,1.367190,0.000430,716800
1996-07-19,1.351560,1.373050,1.351560,1.370610,0.000431,870400
1996-07-22,1.386720,1.386720,1.386720,1.386720,0.000437,2611200
1996-07-23,1.357420,1.367190,1.357420,1.367190,0.000430,409600
1996-07-24,1.337890,1.347660,1.337890,1.347660,0.000424,204800
1996-07-25,1.328130,1.357420,1.328130,1.357420,0.000427,460800
1996-07-26,1.347660,1.347660,1.337890,1.337890,0.000421,665600
1996-07-29,1.320310,1.326170,1.318360,1.318360,0.000415,153600
1996-07-30,1.279300,1.279300,1.279300,1.279300,0.000403,51200
1996-07-31,1.278320,1.289060,1.278320,1.289060,0.000406,153600
1996-08-01,1.308590,1.386720,1.308590,1.384770,0.000436,10547200
1996-08-02,1.371090,1.386720,1.347660,1.351560,0.000425,1996800
1996-08-05,1.335940,1.335940,1.335940,1.335940,0.000421,51200
1996-08-06,1.332030,1.347660,1.332030,1.343750,0.000423,256000
1996-08-07,1.319340,1.319340,1.312500,1.312500,0.000413,102912
1996-08-08,1.337890,1.365230,1.337890,1.338870,0.000421,307200
1996-08-09,1.367190,1.367190,1.347660,1.347660,0.000424,204800
1996-08-12,1.330080,1.330080,1.328130,1.328130,0.000418,153600
1996-08-13,1.308590,1.314450,1.308590,1.314450,0.000414,153600
1996-08-14,1.327640,1.327640,1.299320,1.302730,0.000410,153600
1996-08-15,null,null,null,null,null,null
1996-08-16,1.269530,1.279300,1.259770,1.262210,0.000397,3072000
1996-08-19,1.267580,1.267580,1.252930,1.252930,0.000394,204800
1996-08-20,1.250000,1.250000,1.234380,1.234380,0.000389,256000
1996-08-21,1.257810,1.267090,1.250000,1.266110,0.000399,256000
1996-08-22,1.254390,1.269530,1.254390,1.261720,0.000397,153600
1996-08-23,1.267580,1.318360,1.267580,1.308590,0.000412,460800
1996-08-26,1.289550,1.296390,1.289060,1.293460,0.000407,716800
1996-08-27,1.283200,1.298830,1.283200,1.298830,0.000409,153600
1996-08-28,null,null,null,null,null,null
1996-08-29,null,null,null,null,null,null
1996-08-30,1.335940,1.335940,1.335940,1.335940,0.000421,51200
1996-09-02,1.302730,1.302730,1.300780,1.300780,0.000409,102400
1996-09-03,1.308590,1.308590,1.308590,1.308590,0.000412,102400
1996-09-04,1.289060,1.289060,1.287110,1.287110,0.000405,102400
1996-09-05,null,null,null,null,null,null
1996-09-06,1.298830,1.335940,1.298830,1.313480,0.000413,5068800
1996-09-09,1.337890,1.337890,1.318360,1.318360,0.000415,716800
1996-09-10,1.320310,1.320310,1.303220,1.303220,0.000410,2713600
1996-09-11,1.312500,1.312500,1.298830,1.298830,0.000409,153600
1996-09-12,null,null,null,null,null,null
1996-09-13,1.308590,1.308590,1.289060,1.289060,0.000406,460800
1996-09-16,null,null,null,null,null,null
1996-09-17,null,null,null,null,null,null
1996-09-18,1.283200,1.317870,1.283200,1.300290,0.000409,102400
1996-09-19,1.280270,1.289060,1.279300,1.289060,0.000406,256000
1996-09-20,1.289060,1.289060,1.289060,1.289060,0.000406,153600
1996-09-23,1.298340,1.318360,1.298340,1.300290,0.000409,1075200
1996-09-24,1.298830,1.298830,1.298830,1.298830,0.000409,51200
1996-09-25,1.304690,1.337890,1.304690,1.308590,0.000412,2406400
1996-09-26,1.298830,1.298830,1.298830,1.298830,0.000409,51200
1996-09-27,1.296880,1.296880,1.289060,1.293950,0.000407,307200
1996-09-30,1.283690,1.289060,1.269530,1.289060,0.000406,716800
1996-10-01,1.272460,1.272460,1.272460,1.272460,0.000401,51200
1996-10-02,null,null,null,null,null,null
1996-10-03,1.259770,1.259770,1.232420,1.244140,0.000392,512000
1996-10-04,1.244140,1.259770,1.232420,1.250000,0.000393,768000
1996-10-07,1.191890,1.237300,1.171880,1.232420,0.000388,1587200
1996-10-08,1.210940,1.232420,1.210940,1.232420,0.000388,563200
1996-10-09,1.232420,1.267580,1.232420,1.267580,0.000399,20889600
1996-10-10,1.337890,1.337890,1.318360,1.337890,0.000421,512000
1996-10-11,1.347660,1.347660,1.337890,1.343750,0.000423,358400
1996-10-14,1.318360,1.318360,1.299800,1.299800,0.000409,102400
1996-10-15,1.310550,1.310550,1.300780,1.304690,0.000411,512000
1996-10-16,1.298830,1.308590,1.298830,1.308590,0.000412,102400
1996-10-17,1.309080,1.318360,1.308590,1.318360,0.000415,153600
1996-10-18,1.328130,1.328130,1.318360,1.320310,0.000416,512000
1996-10-21,null,null,null,null,null,null
1996-10-22,1.421880,1.421880,1.347660,1.347660,0.000424,409600
1996-10-23,1.367190,1.376950,1.367190,1.376950,0.000433,256000
1996-10-24,1.367190,1.375000,1.363280,1.363280,0.000429,614400
1996-10-25,1.347660,1.347660,1.347660,1.347660,0.000424,204800
1996-10-28,1.343750,1.357420,1.343750,1.353520,-0.003769,358400
1996-10-29,1.347660,1.347660,1.341800,1.341800,-0.003737,1433600
1996-10-30,null,null,null,null,null,null
1996-10-31,1.337890,1.343750,1.337890,1.339840,-0.003731,358400
1996-11-01,1.328130,1.367190,1.328130,1.360840,-0.003790,614400
1996-11-04,null,null,null,null,null,null
1996-11-05,1.337890,1.337890,1.337890,1.337890,-0.003726,51200
1996-11-06,1.324220,1.335940,1.324220,1.335940,-0.003720,153600
1996-11-07,1.355470,1.355470,1.338380,1.338380,-0.003727,102400
1996-11-08,null,null,null,null,null,null
1996-11-11,null,null,null,null,null,null
1996-11-12,null,null,null,null,null,null
1996-11-13,1.357420,1.357420,1.355470,1.355470,-0.003775,256000
1996-11-14,1.357420,1.376950,1.357420,1.367190,-0.003807,614400
1996-11-15,1.367190,1.367190,1.367190,1.367190,-0.003807,563200
1996-11-18,null,null,null,null,null,null
1996-11-19,null,null,null,null,null,null
1996-11-20,1.361330,1.367190,1.361330,1.367190,-0.003807,153600
1996-11-21,null,null,null,null,null,null
1996-11-22,1.367190,1.375980,1.367190,1.370610,-0.003817,460800
1996-11-25,1.347660,1.347660,1.346680,1.347660,-0.003753,153600
1996-11-26,1.359380,1.359380,1.359380,1.359380,-0.003786,51200
1996-11-27,1.347660,1.357420,1.347660,1.347660,-0.003753,512000
1996-11-28,1.348140,1.348140,1.348140,1.348140,-0.003754,51200
1996-11-29,1.349610,1.363280,1.349610,1.361330,-0.003791,409600
1996-12-02,1.347660,1.361330,1.347660,1.361330,-0.003791,1075200
1996-12-03,1.347660,1.355470,1.339360,1.339360,-0.003730,358400
1996-12-04,1.318360,1.323240,1.313480,1.318360,-0.003671,972800
1996-12-05,1.318360,1.328130,1.318360,1.328130,-0.003698,665600
1996-12-06,1.326170,1.351560,1.326170,1.349610,-0.003758,563200
1996-12-09,1.347660,1.347660,1.347660,1.347660,-0.003753,51200
1996-12-10,1.328130,1.337890,1.328130,1.337890,-0.003726,563200
1996-12-11,1.347660,1.367190,1.347660,1.367190,-0.003807,870400
1996-12-12,1.376950,1.376950,1.369140,1.374020,-0.003826,563200
1996-12-13,1.376950,1.376950,1.376950,1.376950,-0.003834,204800
1996-12-16,1.386720,1.391600,1.386720,1.391600,-0.003875,153600
1996-12-17,1.402340,1.406250,1.396480,1.406250,-0.003916,2764800
1996-12-18,1.416020,1.445310,1.416020,1.445310,-0.004025,256000
1996-12-19,1.455080,1.455080,1.455080,1.455080,-0.004052,102400
1996-12-20,1.464840,1.492190,1.464840,1.467770,-0.004087,3891200
1996-12-23,1.494140,1.494140,1.494140,1.494140,-0.004161,51200
1996-12-24,1.494140,1.494140,1.494140,1.494140,-0.004161,51200
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,null,null,null,null,null,null
1996-12-30,null,null,null,null,null,null
1996-12-31,null,null,null,null,null,null
1997-01-01,1.386720,1.431640,1.373540,1.373540,-0.003825,256000
1997-01-02,1.562500,1.568360,1.544920,1.544920,-0.004302,409600
1997-01-03,1.552730,1.552730,1.533200,1.543460,-0.004298,665600
1997-01-06,1.562500,1.564450,1.562500,1.564450,-0.004357,153600
1997-01-07,1.552730,1.562500,1.552730,1.562500,-0.004351,102400
1997-01-08,1.562500,1.562500,1.562500,1.562500,-0.004351,563200
1997-01-09,1.562990,1.582030,1.562990,1.581540,-0.004404,307200
1997-01-10,1.589840,1.617190,1.589840,1.605470,-0.004471,1126400
1997-01-13,1.606450,1.621090,1.606450,1.621090,-0.004514,614400
1997-01-14,1.621090,1.625000,1.619140,1.621580,-0.004516,256000
1997-01-15,1.640630,1.669920,1.640630,1.669920,-0.004650,256000
1997-01-16,1.677730,1.738280,1.601560,1.630860,-0.004542,819200
1997-01-17,1.601560,1.630860,1.601560,1.630860,-0.004542,2150400
1997-01-20,1.620610,1.620610,1.611330,1.615720,-0.004499,102400
1997-01-21,1.606930,1.611330,1.591800,1.591800,-0.004433,307200
1997-01-22,1.601560,1.601560,1.590330,1.590330,-0.004429,102400
1997-01-23,null,null,null,null,null,null
1997-01-24,1.605470,1.605470,1.603520,1.605470,-0.004471,11468800
1997-01-27,1.660160,1.679690,1.660160,1.660160,-0.004623,460800
1997-01-28,1.679690,1.688960,1.641110,1.645510,-0.004582,307200
1997-01-29,1.650390,1.658200,1.640630,1.640630,-0.004569,307200
1997-01-30,1.615230,1.616210,1.612300,1.615720,-0.004499,307200
1997-01-31,1.604000,1.630860,1.604000,1.621580,-0.004516,1587200
1997-02-03,1.630370,1.642090,1.630370,1.642090,-0.004573,153600
1997-02-04,1.647950,1.695310,1.647950,1.681640,-0.004683,1075200
1997-02-05,1.689450,1.689450,1.679690,1.679690,-0.004677,153600
1997-02-06,null,null,null,null,null,null
1997-02-07,1.679690,1.689450,1.679690,1.689450,-0.004705,1280000
1997-02-10,1.680180,1.680180,1.679690,1.679690,-0.004677,102400
1997-02-11,1.688960,1.755860,1.688960,1.728520,-0.004813,1484800
1997-02-12,1.732420,1.757810,1.721190,1.722660,-0.004797,1792000
1997-02-13,1.765630,1.765630,1.757810,1.757810,-0.004895,102400
1997-02-14,1.757810,1.757810,1.757810,1.757810,-0.004895,512000
1997-02-17,1.781250,1.781250,1.762700,1.762700,-0.004909,307200
1997-02-18,1.764160,1.773440,1.757810,1.767580,-0.004922,4198400
1997-02-19,1.775390,1.777830,1.757810,1.776860,-0.004948,614400
1997-02-20,1.777340,1.789060,1.777340,1.789060,-0.004982,460800
1997-02-21,1.789060,1.789060,1.781250,1.781250,-0.004960,4608000
1997-02-24,1.772950,1.779300,1.772950,1.778320,-0.004952,256000
1997-02-25,1.777340,1.806150,1.777340,1.806150,-0.005030,1536000
1997-02-26,1.796880,1.833980,1.796880,1.833980,-0.005107,2355200
1997-02-27,1.845700,1.855470,1.845700,1.855470,-0.005167,2560000
1997-02-28,1.875000,1.923830,1.867190,1.869630,-0.005206,1024000
1997-03-03,2.246090,2.318850,2.246090,2.297360,-0.006398,8960000
1997-03-04,2.255860,2.275390,2.226560,2.238770,-0.006234,870400
1997-03-05,2.277340,2.279300,2.209470,2.209470,-0.006153,819200
1997-03-06,2.207030,2.207030,2.052730,2.078130,-0.005787,2201600
1997-03-07,null,null,null,null,null,null
1997-03-10,2.050780,2.070310,1.972660,1.987790,-0.005535,5120000
1997-03-11,2.001950,2.011720,1.943360,1.962400,-0.005465,2252800
1997-03-12,2.011720,2.031250,1.972660,2.015140,-0.005612,9113600
1997-03-13,2.060550,2.072270,2.050780,2.056150,-0.005726,4659200
1997-03-14,2.050780,2.070310,2.050780,2.061040,-0.005739,5529600
1997-03-17,2.080080,2.080080,2.041020,2.041020,-0.005684,358400
1997-03-18,2.056640,2.056640,2.011720,2.011720,-0.005602,256000
1997-03-19,2.011720,2.011720,1.988280,1.988280,-0.005537,307200
1997-03-20,1.962890,1.992190,1.953130,1.987300,-0.005534,11980800
1997-03-21,1.992190,2.001950,1.985350,1.994140,-0.005553,1280000
1997-03-24,null,null,null,null,null,null
1997-03-25,2.025390,2.060550,2.025390,2.050780,-0.005711,204800
1997-03-26,2.070310,2.083980,2.070310,2.083980,-0.005803,204800
1997-03-27,2.128420,2.148440,2.128420,2.138670,-0.005956,1894400
1997-03-28,2.175780,2.177730,2.138670,2.153810,-0.005998,7065600
1997-03-31,1.953130,2.001950,1.939450,1.966310,-0.005476,1331200
1997-04-01,1.970700,2.011720,1.962890,1.978520,-0.005510,716800
1997-04-02,2.031250,2.109380,2.031250,2.099120,-0.005846,1536000
1997-04-03,2.148440,2.246090,2.148440,2.207030,-0.006146,7270400
1997-04-04,2.265630,2.427250,2.259770,2.427250,-0.006759,12953600
